Data type,Study,Species,Population,Age controlled
mean,"Coltman et, al. (2003)",bighorn sheep,Alberta Canada,no
scatter,"Corlatti et, al. (2017)",Chamois,Italy,no
mean,"Douhard et, al. (2016)",Stones sheep,Peace,yes
mean,"Douhard et, al. (2016)",Stones sheep,Skeena,yes
scatter,"Garel et, al. (2007)",Mouflon,France,yes
scatter,"Garel et, al. (2007)",Mouflon,France,yes
scatter,"Garel et, al. (2007)",Mouflon,France,yes
scatter,"Garel et, al. (2007)",Mouflon,France,yes
mean,"Monteith et, al (2013)",Alaska-Yukon moose,North America,no
mean,"Monteith et, al (2013)",Barren Ground caribou,North America,no
mean,"Monteith et, al (2013)",Bighorn sheep,North America,no
mean,"Monteith et, al (2013)",Bison,North America,no
mean,"Monteith et, al (2013)",Canada moose,North America,no
mean,"Monteith et, al (2013)",Non typical mule deer,North America,no
mean,"Monteith et, al (2013)",Typical mule deer,North America,no
mean,"Monteith et, al (2013)",Typical coues white tail deer,North America,no
mean,"Monteith et, al (2013)",Central barren ground caribou,North America,no
mean,"Monteith et, al (2013)",Desert sheep,North America,no
mean,"Monteith et, al (2013)",Dalls sheep,North America,no
mean,"Monteith et, al (2013)",Mountain caribou,North America,no
mean,"Monteith et, al (2013)",Muskox,North America,no
mean,"Monteith et, al (2013)",Non typical American Elk,North America,no
mean,"Monteith et, al (2013)",Non typical coues white tail deer,North America,no
mean,"Monteith et, al (2013)",Quebec labrador caribou,North America,no
mean,"Monteith et, al (2013)",Roosevelts elk,North America,no
mean,"Monteith et, al (2013)",Rocky mountain goat,North America,no
mean,"Monteith et, al (2013)",Shiras moose,North America,no
mean,"Monteith et, al (2013)",Stones sheep,North America,no
mean,"Monteith et, al (2013)",Typical columbia black tail deer,North America,no
mean,"Monteith et, al (2013)",Typical sitka black tail deer,North America,no
mean,"Monteith et, al (2013)",Woodland caribou,North America,no
scatter,"Pelletier et, al. (2012) ",bighorn_sheep,Alberta Canada,no
scatter,"Pelletier et, al. (2012) ",bighorn_sheep,Alberta Canada,no
